 1 -1  0     0.000000E+00
 2 -1  0     3.226878E+00
 0  0  0     3.632310E+00
 1  0  0     5.245990E+00
 3 -1  0     8.066808E+00
 2  0  0     8.473041E+00
 1  1  0     1.075147E+01
 3  0  0     1.331285E+01
 2  1  0     1.397889E+01
 4 -1  0     1.451933E+01
 2  2  0     1.481061E+01
 2 -2  0     1.735130E+01
 3  1  0     1.881997E+01
 3  2  0     1.965150E+01
 4  0  0     1.976449E+01
 3 -2  0     2.219220E+01
 5 -1  0     2.258381E+01
 4  1  0     2.527465E+01
 4  2  0     2.610634E+01
 5  0  0     2.782674E+01
 4 -2  0     2.864704E+01
 6 -1  0     3.225950E+01
 5  1  0     3.334287E+01
 5  2  0     3.417541E+01
 5 -2  0     3.671609E+01
 3  3  0     3.735198E+01
 6  0  0     3.749808E+01
 6  1  0     4.302452E+01
 7 -1  0     4.354546E+01
 4  3  0     4.380560E+01
 6  2  0     4.385904E+01
 6 -2  0     4.639970E+01
 3 -3  0     4.777598E+01
 7  0  0     4.877669E+01
 5  3  0     5.187263E+01
 4 -3  0     5.423007E+01
 7  1  0     5.431950E+01
 7  2  0     5.515758E+01
 8 -1  0     5.644062E+01
 7 -2  0     5.769828E+01
 6  3  0     6.155310E+01
 8  0  0     6.166053E+01
 5 -3  0     6.229740E+01
 8  1  0     6.722767E+01
 8  2  0     6.807140E+01
 8 -2  0     7.061234E+01
 9 -1  0     7.094377E+01
 4 -4  0     7.174043E+01
 6 -3  0     7.197775E+01
 7  3  0     7.284702E+01
 9  0  0     7.614729E+01
 4  4  0     7.736632E+01
 5 -4  0     7.980645E+01
 9  1  0     8.174887E+01
 9  2  0     8.260084E+01
 7 -3  0     8.327090E+01
 9 -2  0     8.514245E+01
 5  4  0     8.543289E+01
 8  3  0     8.575441E+01
 6 -4  0     8.948522E+01
 6  4  0     9.511236E+01
 8 -3  0     9.617655E+01
 9  3  0     1.002753E+02
 7 -4  0     1.007765E+02
 5 -5  0     1.049039E+02
 7  4  0     1.064045E+02
 9 -3  0     1.106944E+02
 5  5  0     1.132856E+02
 8 -4  0     1.136800E+02
 6 -5  0     1.145812E+02
 8  4  0     1.193091E+02
 6  5  0     1.229636E+02
 7 -5  0     1.258709E+02
 9 -4  0     1.281954E+02
 9  4  0     1.338258E+02
 7  5  0     1.342539E+02
 8 -5  0     1.387728E+02
 8  5  0     1.471563E+02
 6  6  0     1.526656E+02
 9 -5  0     1.532866E+02
 6 -6  0     1.597237E+02
 9  5  0     1.616703E+02
 7  6  0     1.639536E+02
 7 -6  0     1.710126E+02
 8  6  0     1.768533E+02
 8 -6  0     1.839134E+02
 9  6  0     1.913646E+02
 9 -6  0     1.984259E+02
 7  7  0     2.132993E+02
 7 -7  0     2.205290E+02
 8  7  0     2.261977E+02
 8 -7  0     2.334285E+02
 9  7  0     2.407074E+02
 9 -7  0     2.479393E+02
 8 -8  0     2.759957E+02
 8  8  0     2.854770E+02
 9 -8  0     2.905021E+02
 9  8  0     2.999855E+02
 9 -9  0     3.470298E+02
 9  9  0     3.512203E+02
