0 0 0    713.299910 
0 1 0	  716.256331 
0 2 0	  722.169102 
0 3 0	  731.038083 
0 4 0	  742.863066 
0 5 0	  757.643771 
0 6 0	  775.379848 
0 7 0	  796.070879 
0 8 0	  819.716375 
0 9 0	  846.315777 
0 10 0	  875.868456 
0 11 0	  908.373715 
0 12 0	  943.830784 
0 13 0	  982.238826 
0 14 0	  1023.596933
0 15 0	  1067.904127
0 16 0	  1115.159361
0 17 0	  1165.361516
0 18 0	  1218.509406
0 19 0	  1274.601774
1 1 -1	  1429.550163
1 1 1	  1429.565138
1 2 -1	  1435.450784
1 2 1	  1435.495709
1 3 -1	  1444.301541
1 3 1	  1444.391391
1 4 -1	  1456.102224
1 4 1	  1456.251975
1 5 -1	  1470.852555
1 5 1	  1471.077180
1 6 -1	  1488.552183
1 6 1	  1488.866658
1 7 -1	  1509.200689
1 7 1	  1509.619990
1 8 -1	  1532.797586
1 8 1	  1533.336687
1 9 -1	  1559.342314
1 9 1	  1560.016190
1 10 -1  1588.834244
1 10 1	  1589.657871
1 11 -1  1621.272679
1 11 1	  1622.261030
1 12 -1  1656.656849
1 12 1	  1657.824901
1 13 -1  1694.985918
1 13 1	  1696.348645
1 14 -1  1736.258976
1 14 1	  1737.831354
1 15 -1  1780.475046
1 15 1	  1782.272049
1 16 -1  1827.633081
1 16 1	  1829.669685
1 17 -1  1877.731963
1 17 1	  1880.023142
1 18 -1  1930.770505
1 18 1	  1933.331235
1 19 -1  1986.747450
1 19 1	  1989.592705
