
 The calculation for [1mch3oh-e[0m used [1m20[0m levels

 T_kin  =  20.00    n(H_2) = 1.000000e+05    N(Mol) = 1.000000e+12
 T_dust =  10.00    N(H_2) = 0.000000e+00    delta_v = 1.000000e+00
 T_back = 100.00    beta_back  2.00    tau100mic =   1.00    Wback =   0.00
 T_e = 10000.00    EM = 1000000000.00    WHII =   0.0000

 Ji Ki vti Jf Kf vtf    T_ex        freq    tau(Back)    T_l(Back)     tau(HII)     T_l(HII)     T_bg             tau          T_l
  4 -1  0   3 -1  0     9.16  1.9344e+02   4.1635e-03   0.0000e+00   5.1750e-03   0.0000e+00  0.0000e+00   7.5304e-03  3.7345e-02
  4 -1  0   3  0  0    -1.21  3.6169e+01   1.4556e-04   0.0000e+00   1.7504e-01   0.0000e+00  0.0000e+00  -2.6251e-03  1.1051e-02
  2  2  0   1  1  0    52.00  1.2169e+02   1.6477e-03   0.0000e+00   1.3697e-02   0.0000e+00  0.0000e+00   6.6685e-05  3.2261e-03
  2  2  0   2  1  0    -2.27  2.4934e+01   6.9176e-05   0.0000e+00   3.8229e-01   0.0000e+00  0.0000e+00  -1.2945e-04  6.5615e-04
  2 -2  0   1 -1  0     3.45  5.2018e+02   3.0107e-02   0.0000e+00   6.4825e-04   0.0000e+00  0.0000e+00   2.3959e-02  3.6685e-04
  2 -2  0   2 -1  0     2.85  4.2344e+02   1.9950e-02   0.0000e+00   9.9862e-04   0.0000e+00  0.0000e+00   1.2204e-02  6.2384e-05
  2 -2  0   3 -1  0     2.06  2.7834e+02   8.6202e-03   0.0000e+00   2.4102e-03   0.0000e+00  0.0000e+00   1.2426e-03  -9.3275e-05
  3  1  0   2  0  0     4.81  3.1019e+02   1.0706e-02   0.0000e+00   1.9197e-03   0.0000e+00  0.0000e+00   1.4414e-03  9.3203e-04
  3  1  0   3  0  0     3.71  1.6510e+02   3.0328e-03   0.0000e+00   7.2177e-03   0.0000e+00  0.0000e+00   8.9981e-04  5.5371e-04
  3  1  0   2  1  0     6.41  1.4513e+02   2.3436e-03   0.0000e+00   9.4615e-03   0.0000e+00  0.0000e+00   1.6461e-04  4.8902e-04
  3  1  0   2  2  0     3.57  1.2020e+02   1.6075e-03   0.0000e+00   1.4057e-02   0.0000e+00  0.0000e+00   5.0184e-05  3.3201e-05
  3  2  0   2  1  0    15.66  1.7006e+02   3.2179e-03   0.0000e+00   6.7826e-03   0.0000e+00  0.0000e+00   1.4847e-04  1.7088e-03
  3  2  0   2  2  0     6.65  1.4513e+02   2.3434e-03   0.0000e+00   9.4623e-03   0.0000e+00  0.0000e+00   1.7719e-04  5.6506e-04
  3  2  0   3  1  0    -2.11  2.4929e+01   6.9144e-05   0.0000e+00   3.8247e-01   0.0000e+00  0.0000e+00  -8.4332e-05  4.1442e-04
  4  0  0   3 -1  0     4.50  3.5069e+02   1.3684e-02   0.0000e+00   1.4836e-03   0.0000e+00  0.0000e+00   5.7260e-03  2.1517e-03
  4  0  0   3  0  0     7.18  1.9342e+02   4.1624e-03   0.0000e+00   5.1765e-03   0.0000e+00  0.0000e+00   7.9182e-04  2.5389e-03
  4  0  0   4 -1  0     2.77  1.5725e+02   2.7512e-03   0.0000e+00   7.9955e-03   0.0000e+00  0.0000e+00   5.3375e-03  2.0307e-04
  4  0  0   3  1  0    -1.61  2.8316e+01   8.9212e-05   0.0000e+00   2.9268e-01   0.0000e+00  0.0000e+00  -7.1923e-05  3.2079e-04
  3 -2  0   2 -1  0     3.43  5.6857e+02   3.5968e-02   0.0000e+00   5.3780e-04   0.0000e+00  0.0000e+00   2.3972e-02  2.0155e-04
  3 -2  0   3 -1  0     2.79  4.2347e+02   1.9953e-02   0.0000e+00   9.9848e-04   0.0000e+00  0.0000e+00   1.1156e-02  3.1951e-05
  3 -2  0   4 -1  0     1.76  2.3003e+02   5.8873e-03   0.0000e+00   3.5969e-03   0.0000e+00  0.0000e+00   1.0051e-03  -1.6822e-04
  3 -2  0   2 -2  0     8.62  1.4513e+02   2.3434e-03   0.0000e+00   9.4623e-03   0.0000e+00  0.0000e+00   4.4351e-06  2.2294e-05
  5 -1  0   4 -1  0     7.70  2.4177e+02   6.5036e-03   0.0000e+00   3.2399e-03   0.0000e+00  0.0000e+00   4.2730e-03  1.3386e-02
  5 -1  0   4  0  0    -3.33  8.4521e+01   7.9486e-04   0.0000e+00   2.9447e-02   0.0000e+00  0.0000e+00  -6.5783e-04  4.5562e-03
  4  1  0   3  0  0     4.77  3.5861e+02   1.4308e-02   0.0000e+00   1.4157e-03   0.0000e+00  0.0000e+00   7.0415e-04  3.1555e-04
  4  1  0   3  1  0     6.30  1.9351e+02   4.1663e-03   0.0000e+00   5.1713e-03   0.0000e+00  0.0000e+00   9.0796e-05  2.2221e-04
  4  1  0   3  2  0     3.96  1.6858e+02   3.1620e-03   0.0000e+00   6.9085e-03   0.0000e+00  0.0000e+00   4.2794e-05  3.3485e-05
  4  1  0   4  0  0     3.42  1.6519e+02   3.0362e-03   0.0000e+00   7.2093e-03   0.0000e+00  0.0000e+00   3.2261e-04  1.3552e-04
  4  2  0   3  1  0    13.24  2.1844e+02   5.3091e-03   0.0000e+00   4.0093e-03   0.0000e+00  0.0000e+00   7.5076e-05  6.3547e-04
  4  2  0   3  2  0     6.84  1.9351e+02   4.1665e-03   0.0000e+00   5.1711e-03   0.0000e+00  0.0000e+00   1.2788e-04  3.7198e-04
  4  2  0   4  1  0    -1.75  2.4933e+01   6.9171e-05   0.0000e+00   3.8231e-01   0.0000e+00  0.0000e+00  -3.4767e-05  1.5865e-04
  5  0  0   4 -1  0     4.55  3.9895e+02   1.7709e-02   0.0000e+00   1.1317e-03   0.0000e+00  0.0000e+00   2.8703e-03  7.8219e-04
  5  0  0   4  0  0     7.82  2.4170e+02   6.5000e-03   0.0000e+00   3.2418e-03   0.0000e+00  0.0000e+00   2.8985e-04  9.3944e-04
  5  0  0   5 -1  0     2.79  1.5718e+02   2.7488e-03   0.0000e+00   8.0027e-03   0.0000e+00  0.0000e+00   1.4019e-03  7.1792e-05
  5  0  0   4  1  0    -4.39  7.6510e+01   6.5132e-04   0.0000e+00   3.6296e-02   0.0000e+00  0.0000e+00  -2.1862e-05  1.6943e-04


