0  0        0.000000   
0  1        3.675922   
0  2       11.027630   
0  3       22.054858   
0  4       36.757201   
0  5       55.134124   
0  6       77.184955   
0  7      102.908889   
0  8      132.304985   
0  9      165.372172   
0 10      202.109240   
0 11      242.514848   
0 12      286.587520   
0 13      334.325647   
0 14      385.727485   
0 15      440.791155   
0 16      499.514646   
0 17      561.895813   
0 18      627.932377   
0 19      697.621925   
0 20      770.961910   
0 21      847.949653   
0 22      928.582340   
0 23     1012.857023   
0 24     1100.770624   
0 25     1192.319928   
0 26     1287.501589   
0 27     1386.312126   
0 28     1488.747929   
0 29     1594.805250   

