0 0 0    0.000000   
0 1 0	 2.415494   
0 2 0	 7.246439   
0 3 0	 14.492744  
0 4 0	 24.154276  
0 5 0	 36.230856  
0 6 0	 50.722263  
0 7 0	 67.628227  
0 8 0	 86.948437  
0 9 0	 108.682536 
0 10 0	 132.830124 
0 11 0	 159.390753 
0 12 0	 188.363934 
0 13 0	 219.749131 
0 14 0	 253.545765 
0 15 0	 289.753211 
0 16 0	 328.370801 
0 17 0	 369.397821 
0 18 0	 412.833513 
0 19 0	 458.677074 
1 1 -1	 2.415494   
1 1 1	 2.415494   
1 2 -1	 7.246439   
1 2 1	 7.246439   
1 3 -1	 14.492744  
1 3 1	 14.492744  
1 4 -1	 24.154276  
1 4 1	 24.154276  
1 5 -1	 36.230856  
1 5 1	 36.230856  
1 6 -1	 50.722263  
1 6 1	 50.722263  
1 7 -1	 67.628227  
1 7 1	 67.628227  
1 8 -1	 86.948437  
1 8 1	 86.948437  
1 9 -1	 108.682536 
1 9 1	 108.682536 
1 10 -1	 132.830124 
1 10 1	 132.830124 
1 11 -1	 159.390753 
1 11 1	 159.390753 
1 12 -1	 188.363934 
1 12 1	 188.363934 
1 13 -1	 219.749131 
1 13 1	 219.749131 
1 14 -1	 253.545765 
1 14 1	 253.545765 
1 15 -1	 289.753211 
1 15 1	 289.753211 
1 16 -1	 328.370801 
1 16 1	 328.370801 
1 17 -1	 369.397821 
1 17 1	 369.397821 
1 18 -1	 412.833513 
1 18 1	 412.833513 
1 19 -1	 458.677074 
1 19 1	 458.677074 
