0   0      .000 
0   1     1.448 
0   2     4.345 
0   3     8.691 
0   4    14.484 
0   5    21.726 
0   6    30.416 
0   7    40.554 
0   8    52.140 
0   9    65.173 
0  10    79.654 
0  11    95.582 
0  12   112.956 
0  13   131.778 
0  14   152.045 
0  15   173.759 
0  16   196.918 
0  17   221.522 
0  18   247.571 
0  19   275.065 
0  20   303.9948                       
0  21   334.3728                       
0  22   366.1929                       
0  23   399.4544                       
0  24   434.1566                       
0  25   470.2986                       
0  26   507.8796                       
0  27   546.8987                       
0  28   587.3548                       
0  29   629.2470                       
0  30   672.5741                       
1   0  1229.615 
1   1  1231.053 
1   2  1233.930 
1   3  1238.245 
1   4  1243.998 
1   5  1251.190 
1   6  1259.819 
1   7  1269.887 
1   8  1281.392 
1   9  1294.335 
1  10  1308.715 
1  11  1324.532 
1  12  1341.786 
1  13  1360.476 
1  14  1380.603 
1  15  1402.165 
1  16  1425.163 
1  17  1449.597 
1  18  1475.465 
1  19  1502.767 
