 0  0  0     0.000000E+00
 1  0  0     1.613532E+00
 2  0  0     4.840477E+00
 3  0  0     9.680598E+00
 1  1  0     1.170493E+01
 1 -1  0     1.173276E+01
 2  1  0     1.490429E+01
 2 -1  0     1.498777E+01
 4  0  0     1.613354E+01
 3  1  0     1.970314E+01
 3 -1  0     1.987010E+01
 5  0  0     2.419883E+01
 4  1  0     2.610125E+01
 4 -1  0     2.637949E+01
 2 -2  0     3.104895E+01
 2  2  0     3.104903E+01
 6  0  0     3.387588E+01
 5  1  0     3.409832E+01
 5 -1  0     3.451565E+01
 3 -2  0     3.588978E+01
 3  2  0     3.589016E+01
 4 -2  0     4.234385E+01
 4  2  0     4.234498E+01
 6  1  0     4.369398E+01
 6 -1  0     4.427817E+01
 3  3  0     4.429283E+01
 3 -3  0     4.429283E+01
 7  0  0     4.516398E+01
 5 -2  0     5.041084E+01
 5  2  0     5.041349E+01
 4  3  0     5.074634E+01
 4 -3  0     5.074634E+01
 7  1  0     5.488779E+01
 7 -1  0     5.566657E+01
 8  0  0     5.806231E+01
 5  3  0     5.881301E+01
 5 -3  0     5.881303E+01
 6 -2  0     6.009036E+01
 6  2  0     6.009565E+01
 8  1  0     6.767924E+01
 6  3  0     6.849269E+01
 6 -3  0     6.849274E+01
 8 -1  0     6.868028E+01
 7 -2  0     7.138193E+01
 7  2  0     7.139146E+01
 4 -4  0     7.197503E+01
 4  4  0     7.197503E+01
 9  0  0     7.256992E+01
 7  3  0     7.978520E+01
 7 -3  0     7.978533E+01
 5 -4  0     8.004082E+01
 5  4  0     8.004082E+01
 9  1  0     8.206774E+01
 9 -1  0     8.331867E+01
 8 -2  0     8.428500E+01
 8  2  0     8.430088E+01
 6 -4  0     8.971957E+01
 6  4  0     8.971957E+01
 8  3  0     9.269031E+01
 8 -3  0     9.269060E+01
 9 -2  0     9.879895E+01
 9  2  0     9.882389E+01
 7 -4  0     1.010111E+02
 7  4  0     1.010111E+02
 9  3  0     1.072078E+02
 9 -3  0     1.072083E+02
 8 -4  0     1.139154E+02
 8  4  0     1.139154E+02
 5  5  0     1.200430E+02
 5 -5  0     1.200430E+02
 6  5  0     1.297212E+02
 6 -5  0     1.297212E+02
 9 -4  0     1.384322E+02
 9  4  0     1.384322E+02
 7  5  0     1.510119E+02
 7 -5  0     1.510119E+02
 8  5  0     1.639148E+02
 8 -5  0     1.639148E+02
 9  5  0     1.784297E+02
 9 -5  0     1.784297E+02
 6  6  0     1.785137E+02
 6 -6  0     1.785137E+02
 7  6  0     1.898030E+02
 7 -6  0     1.898030E+02
 8  6  0     1.927040E+02
 8 -6  0     1.927040E+02
 9  6  0     2.172166E+02
 9 -6  0     2.172166E+02
 7 -7  0     2.252273E+02
 7  7  0     2.252273E+02
 8  7  0     2.481250E+02
 8 -7  0     2.481250E+02
 9  7  0     2.626338E+02
 9 -7  0     2.626338E+02
 8  8  0     3.011348E+02
 8 -8  0     3.011348E+02
 9  8  0     3.156415E+02
 9 -8  0     3.156415E+02
 9  9  0     4.032551E+02
 9 -9  0     4.032551E+02
