0 0 0    462.617692  
0 1 0	 465.641919  
0 2 0	 471.690373  
0 3 0	 480.763053  
0 4 0	 492.859961  
0 5 0	 507.981094  
0 6 0	 526.126453  
0 7 0	 547.296037  
0 8 0	 571.489847  
0 9 0	 598.707880  
0 10 0	 628.950137  
0 11 0	 662.216616  
0 12 0	 698.507317  
0 13 0	 737.822239  
0 14 0	 780.161380  
0 15 0	 825.524740  
0 16 0	 873.912317  
0 17 0	 925.324111  
0 18 0	 979.760119  
0 19 0	 1037.220341 
1 1 -1	 926.752572  
1 1 1	 926.752593  
1 2 -1	 932.821345  
1 2 1	 932.821410  
1 3 -1	 941.924505  
1 3 1	 941.924634  
1 4 -1	 954.062051  
1 4 1	 954.062267  
1 5 -1	 969.233984  
1 5 1	 969.234308  
1 6 -1	 987.440303  
1 6 1	 987.440757  
1 7 -1	 1008.681009 
1 7 1	 1008.681614 
1 8 -1	 1032.956101 
1 8 1	 1032.956879 
1 9 -1	 1060.265579 
1 9 1	 1060.266551 
1 10 -1	 1090.609444 
1 10 1	 1090.610632 
1 11 -1	 1123.987696 
1 11 1	 1123.989120 
1 12 -1	 1160.400333 
1 12 1	 1160.402015 
1 13 -1	 1199.847356 
1 13 1	 1199.849318 
1 14 -1	 1242.328766 
1 14 1	 1242.331028 
1 15 -1	 1287.844562 
1 15 1	 1287.847145 
1 16 -1	 1336.394743 
1 16 1	 1336.397669 
1 17 -1	 1387.979311 
1 17 1	 1387.982600 
1 18 -1	 1442.598264 
1 18 1	 1442.601937 
1 19 -1	 1500.251603 
1 19 1	 1500.255681 
