0   1   1   1     16.119490     
0   1   1   0	  16.909863     
0   2   2   0	  44.584401     
0   2   2   1	  45.375711     
0   2   1   1	  55.884534     
0   2   1   0	  56.655035     
0   3   2   0	  104.209547    
0   3   2   1	  104.971219    
0   3   1   1	  115.481336    
0   3   1   0	  116.223002    
0   4   4   0	  138.546457    
0   4   4   1	  139.351666    
0   4   2   0	  183.615199    
0   4   2   1	  184.339145    
0   4   1   1	  194.849475    
0   4   1   0	  195.554439    
0   5   5   1	  204.042631    
0   5   5   0	  204.860965    
0   5   4   0	  237.840065    
0   5   4   1	  238.595690    
0   5   2   0	  282.721380    
0   5   2   1	  283.400894    
0   5   1   1	  293.909221    
0   5   1   0	  294.570951    
0   6   5   1	  323.141766    
0   6   5   0	  323.900040    
0   6   4   0	  356.770391    
0   6   4   1	  357.470695    
0   7   7   1	  372.074130    
0   7   7   0	  372.931893    
0   6   2   0	  401.429454    
0   6   2   1	  402.059372    
0   6   1   1	  412.562237    
0   6   1   0	  413.175705    
0   7   5   1	  461.785140    
0   7   5   0	  462.479113    
0   8   8   0	  474.622168    
0   8   8   1	  475.506740    
0   7   4   0	  495.219571    
0   7   4   1	  495.860625    
0   8   7   1	  530.719660    
0   8   7   0	  531.494609    
0   7   2   0	  539.623008    
0   7   2   1	  540.199782    
0   7   1   1	  550.692474    
0   7   1   0	  551.254220    
0   8   5   1	  619.836665    
0   8   5   0	  620.464045    
0   9   8   0	  653.005584    
0   8   4   0	  653.052788    
0   8   4   1	  653.632453    
0   9   8   1	  653.794721    
0   8   2   0	  697.168919    
0   8   2   1	  697.690599    
0   8   1   1	  708.167231    
0   8   1   0	  708.675351    
0   9   7   1	  708.683279    
0   9   7   0	  709.374942    
0  10  10   0	  716.855226    
0  10  10   1	  717.809363    
0   9   5   1	  797.144363    
0   9   5   0	  797.704683    
0   9   4   0	  830.119514    
0   9   4   1	  830.637331    
0  10   8   0	  850.573355    
0  10   8   1	  851.268926    
0  11  11   1	  856.593209    
0  11  11   0	  857.591030    
0   9   2   0	  873.918592    
0   9   2   1	  874.384732    
0   9   1   1	  884.838398    
0   9   1   0	  885.292450    
0  10   7   1	  905.794180    
0  10   7   0	  906.404114    
0  11  10   0	  934.636134    
0  11  10   1	  935.466125    
1   1   1   1	  948.548201    
1   2   2   0	  976.597254    
1   1   1   0	  984.095670    
1   2   1   1	  988.800698    
0  10   5   1	  993.541779    
0  10   5   0	  994.036202    
1   2   2   1	  1012.355430   
1   2   1   0	  1023.654900   
0  10   4   0	  1026.254929   
0  10   4   1	  1026.711940   
1   3   2   0	  1036.952094   
1   3   1   1	  1049.115832   
1   4   4   0	  1066.420688   
0  11   8   0	  1067.138290   
0  11   8   1	  1067.744119   
0  10   2   0	  1069.709382   
0  10   2   1	  1070.120886   
1   3   2   1	  1071.673294   
0  10   1   1	  1080.543874   
0  10   1   0	  1080.944729   
1   3   1   0	  1082.949679   
0  12  11   1	  1094.030571   
0  12  11   0	  1094.887698   
1   4   4   1	  1105.454848   
1   4   2   0	  1117.306472   
0  11   7   1	  1121.868198   
0  11   7   0	  1122.399668   
1   5   5   1	  1126.406995   
1   4   1   1	  1129.417268   
1   4   2   1	  1150.681528   
1   4   1   0	  1161.927133   
1   5   4   0	  1166.937532   
1   5   5   0	  1170.175790   
0  12  10   0	  1171.292299   
0  12  10   1	  1172.005856   
0  13  13   1	  1173.531065   
0  13  13   0	  1174.637030   
1   5   4   1	  1204.236848   
0  11   5   1	  1208.849585   
0  11   5   0	  1209.280652   
1   5   2   0	  1217.558608   
1   5   1   1	  1229.603227   
0  11   4   0	  1241.281514   
0  11   4   1	  1241.680037   
1   6   5   1	  1246.985552   
1   5   2   1	  1249.309628   
1   5   1   0	  1260.516758   
1   7   7   1	  1269.822232   
0  11   2   0	  1284.366192   
0  11   2   1	  1284.725108   
1   6   4   0	  1287.277852   
1   6   5   0	  1288.658818   
0  11   1   1	  1295.109166   
0  11   1   0	  1295.458810   
0  12   8   0	  1302.501312   
0  12   8   1	  1303.022760   
1   6   4   1	  1322.581366   
1   7   7   0	  1335.517745   
1   6   2   0	  1337.581278   
1   6   1   1	  1349.546485   
1   8   8   0	  1349.673990   
0  13  11   1	  1350.167643   
0  13  11   0	  1350.895423   
0  12   7   1	  1356.709580   
0  12   7   0	  1357.167201   
1   6   2   1	  1367.469466   
1   6   1   0	  1378.630426   
1   7   5   1	  1387.274623   
0  13  10   0	  1426.605999   
1   7   5   0	  1426.621697   
0  13  10   1	  1427.212337   
1   7   4   0	  1427.288979   
1   8   7   1	  1430.490768   
1   8   8   1	  1435.903558   
0  12   5   1	  1442.877347   
0  12   5   0	  1443.248700   
1   7   4   1	  1460.382650   
0  12   4   0	  1475.010834   
0  12   4   1	  1475.354201   
1   7   2   0	  1477.221814   
1   7   1   1	  1489.094373   
1   8   7   0	  1493.329573   
1   7   2   1	  1505.055290   
1  10  10   0	  1514.486480   
1   7   1   0	  1516.162385   
0  12   2   0	  1517.703245   
0  12   2   1	  1518.012537   
0  12   1   1	  1528.349162   
0  12   1   0	  1528.650474   
1   9   8   0	  1530.372844   
1   8   5   1	  1547.096093   
0  13   8   0	  1556.453406   
0  13   8   1	  1556.896951   
1   8   5   0	  1583.941045   
1   8   4   0	  1586.792800   
1  11  11   1	  1594.080940   
0  13   7   1	  1610.112936   
0  13   7   0	  1610.502314   
