0 0 0.000
0 1 1.634
0 2 4.902
0 3 9.805
0 4 16.341
0 5 24.511
0 6 34.315
0 7 45.753
0 8 58.823
0 9 73.527
0 10 89.863
0 11 107.832
0 12 127.433
0 13 148.665
0 14 171.529
0 15 196.023
0 16 222.148
0 17 249.903
0 18 279.287
0 19 310.299
1 0 1272.161
1 1 1273.784
1 2 1277.028
1 3 1281.895
1 4 1288.384
1 5 1296.495
1 6 1306.228
1 7 1317.582
1 8 1330.558
1 9 1345.155
1 10 1361.373
1 11 1379.212
1 12 1398.670
1 13 1419.749
1 14 1442.447
1 15 1466.764
1 16 1492.699
1 17 1520.252
1 18 1549.423
1 19 1580.211
