0   0   0   1   0.000000      
0   1   0   0	19.106162     
0   2   0   1	59.648268     
0   3   3   1	85.393682     
0   3   3   0	86.189919     
0   3   0   0	118.500526    
0   4   3   1	164.862152    
0   4   3   0	165.618896    
0   4   0   1	198.591309    
0   5   3   1	264.046100    
0   5   3   0	264.756336    
0   6   6   0	281.883754    
0   6   6   1	282.719532    
0   5   0   0	296.979705    
0   6   3   1	382.846386    
0   6   3   0	383.504719    
0   6   0   1	416.270322    
0   7   6   0	420.767355    
0   7   6   1	421.532052    
0   7   3   1	521.145993    
0   7   3   0	521.748720    
0   7   0   0	553.822681    
0   8   6   0	579.088993    
0   8   6   1	579.780113    
0   9   9   1	589.541979    
0   9   9   0	590.458535    
0   8   3   1	678.811091    
0   8   3   0	679.356186    
0   8   0   1	711.830605    
0   9   6   0	756.694914    
0   9   6   1	757.311984    
0  10   9   1	787.637709    
0  10   9   0	788.445123    
0   9   3   1	855.692281    
0   9   3   0	856.179292    
0   9   0   0	888.025577    
1   1   0   0	952.570559    
0  10   6   0	953.416671    
0  10   6   1	953.961020    
1   0   0   1	968.076000    
0  11   9   1	1004.770209   
0  11   9   0	1005.473061   
0  12  12   0	1008.799209   
0  12  12   1	1009.847409   
1   3   3   1	1016.136398   
1   2   0   1	1027.415962   
0  10   3   1	1051.626010   
0  10   3   0	1052.055896   
1   3   3   0	1052.825039   
1   3   0   0	1053.116131   
0  10   0   1	1084.152783   
1   4   3   1	1096.579012   
1   4   3   0	1131.884573   
1   4   0   1	1165.670240   
0  11   6   0	1169.072715   
0  11   6   1	1169.547194   
1   6   6   0	1194.754008   
1   5   3   1	1196.941443   
1   5   3   0	1230.576798   
1   5   0   0	1233.563820   
0  12   9   1	1240.736633   
0  12   9   0	1241.341283   
1   6   6   1	1246.899386   
0  13  12   0	1265.862675   
0  11   3   1	1266.436173   
0  13  12   1	1266.751821   
0  11   3   0	1266.811090   
0  11   0   0	1298.341045   
1   6   3   1	1317.096467   
1   7   6   0	1335.382787   
1   6   3   0	1348.813586   
1   6   0   1	1382.345318   
1   7   6   1	1385.059770   
0  12   6   0	1403.470177   
0  12   6   1	1403.878843   
1   9   9   1	1432.073421   
1   7   3   1	1456.891416   
1   7   3   0	1486.489185   
1   7   0   0	1492.997613   
0  13   9   1	1495.323854   
1   8   6   0	1495.592496   
0  13   9   0	1495.837949   
0  12   3   1	1499.935885   
0  12   3   0	1500.258945   
0  12   0   1	1531.895385   
1   8   6   1	1542.604838   
1   9   9   0	1547.910108   
1   8   3   1	1616.148176   
1  10   9   1	1632.794179   
1   8   3   0	1643.480213   
0  13   6   0	1656.406811   
0  13   6   1	1656.754611   
1  12  12   0	1667.726390   
1   9   6   0	1675.179576   
1   8   0   1	1676.665670   
1   9   6   1	1719.393588   
1  10   9   0	1744.938158   
0  13   3   1	1751.929431   
0  13   3   0	1752.204459   
0  13   0   0	1783.328143   
1   9   3   1	1794.663189   
1   9   3   0	1819.645668   
1   9   0   0	1830.094380   
1  11   9   1	1852.607388   
1  10   6   0	1873.915024   
1  10   6   1	1915.267388   
1  13  12   0	1928.472642   
1  12  12   1	1951.895770   
1  11   9   0	1960.990427   
1  10   3   1	1992.207451   
1  10   3   0	2014.826918   
1  10   0   1	2047.573760   
1  12   9   1	2091.233155   
1  11   6   0	2091.544392   
1  11   6   1	2130.049982   
1  12   9   0	2195.873035   
1  13  12   1	2207.497942   
1  11   3   1	2208.526514   
1  11   3   0	2228.847707   
1  11   0   0	2243.123875   
1  12   6   0	2327.787787   
1  13   9   1	2348.366143   
1  12   6   1	2363.547490   
1  12   3   1	2443.340486   
1  13   9   0	2449.374472   
1  12   3   0	2461.514155   
1  12   0   1	2493.730042   
1  13   6   0	2582.339872   
1  13   6   1	2615.548402   
1  13   3   1	2696.344029   
1  13   3   0	2712.614752   
1  13   0   0	2729.948735   
